,zipcode,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,lat,long
42,98103,566693,2.976149915,1.899914821,1610,3433,1.822827939,0,0.139693356,1.132879046,7.371379898,1376,228,1952,47.67607973,-122.3443135
43,98105,657524,3.41011236,1.93258427,1781,4139,1.533707865,0,0.084269663,1.151685393,7.415730337,1408,368,1938,47.6659264,-122.3000899
44,98106,318830,3.102719033,1.812688822,1488,5338,1.383685801,0,0.075528701,1.039274924,6.86102719,1185,298,1965,47.53608429,-122.3567704
45,98107,558027,2.977099237,2.022900763,1546,3164,1.832061069,0,0.175572519,1.095419847,7.389312977,1292,247,1959,47.66985649,-122.375458
46,98108,355678,3.204301075,1.931451613,1704,5204,1.376344086,0,0.096774194,1.086021505,7.016129032,1300,402,1957,47.54976935,-122.306871
47,98109,696145,3,1.936046512,1715,3276,1.63372093,0,0.337209302,1.093023256,7.697674419,1401,299,1944,47.63534884,-122.3497907
48,98112,728852,3.161676647,1.946107784,1890,3753,1.694610778,0,0.077844311,1.083832335,7.778443114,1510,372,1944,47.62874431,-122.299515
49,98115,585542,3.163375224,1.811938959,1765,5276,1.401256732,0,0.131059246,1.12567325,7.287253142,1357,398,1947,47.68565512,-122.3025153
50,98116,574901,3.03525641,1.923878205,1751,4683,1.509615385,0,0.461538462,1.131410256,7.442307692,1355,379,1952,47.57344071,-122.3935577
51,98117,564050,2.996316759,1.796040516,1663,4526,1.453038674,0,0.138121547,1.106813996,7.243093923,1316,341,1948,47.68683352,-122.3783757
52,98118,401915,3.116232465,1.74749499,1652,5499,1.336673347,0.002004008,0.214428858,1.058116232,6.933867735,1304,344,1950,47.54389599,-122.2757415
53,98119,695016,3.058823529,2.060457516,1774,3315,1.72875817,0,0.300653595,1.098039216,7.803921569,1418,325,1947,47.64100392,-122.3671438
54,98122,575209,3.118081181,2.014760148,1686,3362,1.750922509,0,0.132841328,1.051660517,7.634686347,1431,252,1950,47.60996531,-122.3007528
55,98125,444767,3.187179487,1.794230769,1702,7250,1.362820513,0,0.171794872,1.076923077,7.146153846,1390,304,1960,47.71686205,-122.3018026
56,98126,424734,2.836158192,1.678672316,1543,5114,1.350282486,0,0.378531073,1.107344633,7.031073446,1249,285,1952,47.54458418,-122.375274
57,98133,386497,3.135245902,1.731557377,1605,6967,1.397540984,0,0.016393443,1.110655738,7.118852459,1354,250,1963,47.73564549,-122.3437561
58,98136,525972,2.908366534,1.847609562,1683,5197,1.476095618,0,0.513944223,1.067729084,7.378486056,1323,346,1957,47.53888167,-122.3878805
59,98144,507286,3.156739812,1.952978056,1759,3695,1.622257053,0,0.282131661,1.131661442,7.288401254,1367,384,1956,47.5863511,-122.2991944
60,98146,335236,3.114391144,1.617158672,1580,8010,1.212177122,0,0.280442804,1.025830258,6.767527675,1345,232,1956,47.50208487,-122.3576089
61,98148,283960,3.142857143,1.790178571,1595,8700,1.214285714,0,0,0.964285714,6.964285714,1483,103,1963,47.43704464,-122.329375
62,98155,386842,3.27020202,1.740530303,1680,8867,1.194444444,0,0.106060606,1.113636364,7.068181818,1404,270,1960,47.75412929,-122.305846
63,98166,365841,3.286516854,1.720505618,1750,9457,1.174157303,0.011235955,0.342696629,1.073033708,7.02247191,1450,283,1956,47.45921966,-122.3490955
64,98168,236426,3.013043478,1.440217391,1442,8915,1.154347826,0,0.017391304,1.02173913,6.47826087,1213,223,1953,47.48996913,-122.3084435
65,98177,537454,3.35678392,1.97361809,2058,8062,1.251256281,0,0.417085427,1.08040201,7.608040201,1611,443,1960,47.74100452,-122.3682161
66,98178,307033,3.318897638,1.738188976,1731,7790,1.18503937,0.031496063,0.535433071,1.082677165,6.811023622,1322,401,1955,47.49930433,-122.2471654
67,98188,280926,3.401574803,1.803149606,1745,9327,1.188976378,0,0.133858268,1.086614173,7.007874016,1437,298,1964,47.44709134,-122.2811102
68,98198,282805,3.16194332,1.75708502,1676,8324,1.218623482,0.016194332,0.449392713,1.028340081,7.044534413,1434,237,1967,47.39161255,-122.315498
69,98199,670171,3.102941176,2.020220588,1936,4935,1.415441176,0,0.352941176,1.128676471,7.702205882,1421,508,1956,47.64859191,-122.3972721
